bar_time_utc,price_time_local,date,open,high,low,close,volume,barCount,average,tweet_count,labeled_count,unlabeled_count,bullish_count,bearish_count,sentiment_sum,sentiment_mean,labeled_sentiment_mean,return_1m,return_5m,forward_return_1m,forward_return_5m,hour
2020-03-24 20:26:00+00:00,2020-03-24 14:26:00,20200324  14:26:00,243.35,243.45,243.15,243.2,239,112,243.299,16.0,6.0,10.0,4.0,2.0,2.0,0.125,0.3333333333333333,-0.0008216926869351,-0.0018469115534579,0.0005345394736842,-0.0002878289473683,14
2020-03-24 21:02:00+00:00,2020-03-24 15:02:00,20200324  15:02:00,244.2,244.25,244.09,244.09,197,70,244.155,18.0,9.0,9.0,4.0,5.0,-1.0,-0.0555555555555555,-0.1111111111111111,-0.0004913803693542,-0.0020850367947669,-0.0005735589331804,-0.002867794665902,15
2020-03-24 21:45:00+00:00,2020-03-24 15:45:00,20200324  15:45:00,243.42,243.99,243.36,243.99,364,122,243.75,17.0,7.0,10.0,3.0,4.0,-1.0,-0.0588235294117647,-0.1428571428571428,0.0024651793417971,0.0039914410336596,-0.0009836468707734,-0.0011885733021845,15
2020-03-24 22:17:00+00:00,2020-03-24 16:17:00,20200324  16:17:00,245.21,245.21,244.91,245.0,422,82,245.022,20.0,7.0,13.0,2.0,5.0,-3.0,-0.15,-0.4285714285714285,-0.0008971535763804,-0.0006526350138684,0.0006530612244897,0.0023673469387754,16
2020-03-24 22:49:00+00:00,2020-03-24 16:49:00,20200324  16:49:00,246.26,246.26,246.04,246.25,17,13,246.123,14.0,6.0,8.0,3.0,3.0,0.0,0.0,0.0,-0.0002030044660983,0.002728235198306,-0.0015837563451776,0.0016243654822334,16
2020-03-24 23:38:00+00:00,2020-03-24 17:38:00,20200324  17:38:00,243.75,243.99,243.58,243.58,172,23,243.853,16.0,6.0,10.0,1.0,5.0,-4.0,-0.25,-0.6666666666666666,-0.0003693519924486,4.1055959272506826e-05,-0.0004926512849987,-0.0035717218162411,17
2020-03-25 10:47:00+00:00,2020-03-25 04:47:00,20200325  04:47:00,242.54,242.91,242.45,242.54,142,45,242.603,16.0,9.0,7.0,1.0,8.0,-7.0,-0.4375,-0.7777777777777778,-0.0004121332014507,-0.0051273637146724,0.0030922734394327,-0.0006184546878865,4
2020-03-25 11:35:00+00:00,2020-03-25 05:35:00,20200325  05:35:00,239.05,239.9,239.03,239.3,344,103,239.393,14.0,6.0,8.0,1.0,5.0,-4.0,-0.2857142857142857,-0.6666666666666666,0.00104580631667,-0.0099296648738104,0.0,0.0041370664437943,5
2020-03-25 12:40:00+00:00,2020-03-25 06:40:00,20200325  06:40:00,241.58,242.41,241.58,242.37,150,57,242.0,15.0,4.0,11.0,3.0,1.0,2.0,0.1333333333333333,0.5,0.0036024844720496,0.0011152416356878,-0.0002475553905186,-0.0033007385402484,6
2020-03-25 13:16:00+00:00,2020-03-25 07:16:00,20200325  07:16:00,244.75,244.86,244.2,244.29,1619,337,244.487,16.0,8.0,8.0,4.0,4.0,0.0,0.0,0.0,-0.001634721484327,0.0006144015728679,-0.0002865446805025,0.0002865446805027,7
