bar_time_utc,price_time_local,date,open,high,low,close,volume,barCount,average,tweet_count,labeled_count,unlabeled_count,bullish_count,bearish_count,sentiment_sum,sentiment_mean,labeled_sentiment_mean,return_1m,return_5m,forward_return_1m,forward_return_5m,hour
2020-03-27 20:13:00+00:00,2020-03-27 14:13:00,20200327  14:13:00,252.32,252.8,252.25,252.77,1654,371,252.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017437482661593,0.00055417013023,0.0001186849705265,-0.0005934248526328,14
2020-03-25 21:28:00+00:00,2020-03-25 15:28:00,20200325  15:28:00,246.38,246.54,246.38,246.5,93,20,246.507,4.0,2.0,2.0,0.0,2.0,-2.0,-0.5,-1.0,0.0001622981416862,-4.056630562654373e-05,0.0001622718052738,0.0008924949290061,15
2020-03-25 21:55:00+00:00,2020-03-25 15:55:00,20200325  15:55:00,246.95,247.04,246.95,247.0,14,6,246.963,4.0,1.0,3.0,1.0,0.0,1.0,0.25,1.0,0.0003645052853267,0.0002834811485035,-0.0004453441295546,-0.0012145748987855,15
2020-03-25 22:22:00+00:00,2020-03-25 16:22:00,20200325  16:22:00,247.8,247.81,247.43,247.62,74,37,247.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011294876966518,-0.0033005957172758,0.0,-0.001211533801793,16
2020-03-25 23:28:00+00:00,2020-03-25 17:28:00,20200325  17:28:00,246.59,246.71,246.27,246.27,76,29,246.405,4.0,1.0,3.0,0.0,1.0,-1.0,-0.25,-1.0,-0.0007709161730098,0.0006501158018772,0.0004060583911966,0.0007309051041539,17
2020-03-25 23:51:00+00:00,2020-03-25 17:51:00,20200325  17:51:00,246.8,246.92,246.79,246.81,80,29,246.83,4.0,2.0,2.0,0.0,2.0,-2.0,-0.5,-1.0,8.104056080071587e-05,-0.0001620417257442,-0.0010534419188849,-0.0003646529719217,17
2020-03-26 12:40:00+00:00,2020-03-26 06:40:00,20200326  06:40:00,244.23,245.07,244.2,244.73,2469,480,244.776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015961365310632,0.0044738138236741,0.001103256650186,-0.0044130266007436,6
2020-04-06 13:01:00+00:00,2020-04-06 07:01:00,20200406  07:01:00,257.76,257.82,257.61,257.62,105,34,257.738,4.0,2.0,2.0,2.0,0.0,2.0,0.5,1.0,-0.0006206843044455,-0.0009694807461123,0.0001552674481795,0.0008151541029421,7
2020-04-16 14:21:00+00:00,2020-04-16 08:21:00,20200416  08:21:00,276.68,276.77,276.59,276.64,2245,1014,276.689,4.0,2.0,2.0,0.0,2.0,-2.0,-0.5,-1.0,-0.000108432428525,0.0014480162177814,0.000289184499711,0.0015182186234818,8
2020-04-17 14:05:00+00:00,2020-04-17 08:05:00,20200417  08:05:00,285.18,285.33,285.11,285.18,1822,992,285.247,3.0,2.0,1.0,0.0,2.0,-2.0,-0.6666666666666666,-1.0,3.506680225817682e-05,-0.0007008199593524,0.0005961147345536,0.0005259835893118,8
